INSTITUTION_ID,GROUP_CODE,GROUP_NAME,ENTITY_CD,ENTITY_NAME
"800000054027",5,"Public School District","080601040000","GREENE CSD"
"800000054000",5,"Public School District","081003040000","UNADILLA VALLEY CSD"
"800000053997",5,"Public School District","081200050000","NORWICH CITY SD"
"800000053951",5,"Public School District","081401040000","OTSELIC VALLEY CSD"
"800000053958",5,"Public School District","081501040000","OXFORD ACADEMY & CSD"
"800000053941",5,"Public School District","082001040000","SHERBURNE-EARLVILLE CSD"
"800000053921",5,"Public School District","090201040000","AUSABLE VALLEY CSD"
"800000053899",5,"Public School District","090301060000","BEEKMANTOWN CSD"
"800000053886",5,"Public School District","090501040000","NORTHEASTERN CLINTON CSD"
"800000053881",5,"Public School District","090601020000","CHAZY UFSD"
"800000053866",5,"Public School District","090901040000","NORTHERN ADIRONDACK CSD"
"800000053872",5,"Public School District","091101060000","PERU CSD"
"800000053831",5,"Public School District","091200010000","PLATTSBURGH CITY SD"
"800000053798",5,"Public School District","091402060000","SARANAC CSD"
"800000053770",5,"Public School District","100308020000","BERKSHIRE UFSD"
"800000053780",5,"Public School District","100501040000","TACONIC HILLS CSD"
"800000053763",5,"Public School District","100902040000","GERMANTOWN CSD"
"800000053737",5,"Public School District","101001040000","CHATHAM CSD"
"800000053704",5,"Public School District","101300010000","HUDSON CITY SD"
"800000053697",5,"Public School District","101401040000","KINDERHOOK CSD"
"800000053693",5,"Public School District","101601040000","NEW LEBANON CSD"
"800000053673",5,"Public School District","110101040000","CINCINNATUS CSD"
"800000053659",5,"Public School District","110200010000","CORTLAND CITY SD"
"800000053619",5,"Public School District","110304040000","MCGRAW CSD"
"800000053600",5,"Public School District","110701060000","HOMER CSD"
"800000053590",5,"Public School District","110901040000","MARATHON CSD"
"800000053602",5,"Public School District","120102040000","ANDES CSD"
"800000053588",5,"Public School District","120301040000","DOWNSVILLE CSD"
"800000053582",5,"Public School District","120401040000","CHARLOTTE VALLEY CSD"
"800000053586",5,"Public School District","120501040000","DELAWARE ACADEMY CSD AT DELHI"
"800000053565",5,"Public School District","120701040000","FRANKLIN CSD"
"800000053550",5,"Public School District","120906040000","HANCOCK CSD"
"800000053535",5,"Public School District","121401040000","MARGARETVILLE CSD"
"800000053510",5,"Public School District","121502040000","ROXBURY CSD"
"800000053527",5,"Public School District","121601060000","SIDNEY CSD"
"800000053491",5,"Public School District","121701040000","STAMFORD CSD"
"800000053489",5,"Public School District","121702040000","SOUTH KORTRIGHT CSD"
"800000053499",5,"Public School District","121901040000","WALTON CSD"
"800000053483",5,"Public School District","130200010000","BEACON CITY SD"
"800000053450",5,"Public School District","130502020000","DOVER UFSD"
"800000053443",5,"Public School District","130801060000","HYDE PARK CSD"
"800000053413",5,"Public School District","131101040000","NORTHEAST CSD"
"800000053390",5,"Public School District","131201040000","PAWLING CSD"
"800000053377",5,"Public School District","131301040000","PINE PLAINS CSD"
"800000053351",5,"Public School District","131500010000","POUGHKEEPSIE CITY SD"
"800000053261",5,"Public School District","131601060000","ARLINGTON CSD"
"800000053252",5,"Public School District","131602020000","SPACKENKILL UFSD"
"800000053235",5,"Public School District","131701060000","RED HOOK CSD"
"800000053216",5,"Public School District","131801040000","RHINEBECK CSD"
"800000053180",5,"Public School District","132101060000","WAPPINGERS CSD"
"800000053121",5,"Public School District","132201040000","MILLBROOK CSD"
"800000053113",5,"Public School District","140101060000","ALDEN CSD"
"800000053090",5,"Public School District","140201060000","AMHERST CSD"
"800000053047",5,"Public School District","140203060000","WILLIAMSVILLE CSD"
"800000052994",5,"Public School District","140207060000","SWEET HOME CSD"
"800000052988",5,"Public School District","140301030000","EAST AURORA UFSD"
"800000052968",5,"Public School District","140600010000","BUFFALO CITY SD"
"800000052339",5,"Public School District","140701060000","CHEEKTOWAGA CSD"
"800000052326",5,"Public School District","140702030000","CHEEKTOWAGA-MARYVALE UFSD"
"800000052312",5,"Public School District","140703020000","CLEVELAND HILL UFSD"
"800000052318",5,"Public School District","140707030000","DEPEW UFSD"
"800000052297",5,"Public School District","140709030000","CHEEKTOWAGA-SLOAN UFSD"
"800000052276",5,"Public School District","140801060000","CLARENCE CSD"
"800000052287",5,"Public School District","141101060000","SPRINGVILLE-GRIFFITH INST CSD"
"800000052269",5,"Public School District","141201060000","EDEN CSD"
"800000052255",5,"Public School District","141301060000","IROQUOIS CSD"
"800000052251",5,"Public School District","141401060000","EVANS-BRANT CSD (LAKE SHORE)"
"800000052222",5,"Public School District","141501060000","GRAND ISLAND CSD"
"800000052195",5,"Public School District","141601060000","HAMBURG CSD"
"800000052192",5,"Public School District","141603020000","HOPEVALE UFSD AT HAMBURG"
"800000052176",5,"Public School District","141604060000","FRONTIER CSD"
"800000052163",5,"Public School District","141701040000","HOLLAND CSD"
"800000052156",5,"Public School District","141800010000","LACKAWANNA CITY SD"
"800000052089",5,"Public School District","141901060000","LANCASTER CSD"
"800000052061",5,"Public School District","142101040000","AKRON CSD"
"800000052056",5,"Public School District","142201040000","NORTH COLLINS CSD"
"800000052045",5,"Public School District","142301060000","ORCHARD PARK CSD"
"800000052051",5,"Public School District","142500010000","TONAWANDA CITY SD"
"800000051994",5,"Public School District","142601030000","KENMORE-TONAWANDA UFSD"
"800000051957",5,"Public School District","142801060000","WEST SENECA CSD"
"800000051904",5,"Public School District","150203040000","CROWN POINT CSD"
"800000051883",5,"Public School District","150601040000","KEENE CSD"
"800000051887",5,"Public School District","150801040000","MINERVA CSD"
"800000051871",5,"Public School District","150901040000","MORIAH CSD"
"800000051865",5,"Public School District","151001040000","NEWCOMB CSD"
"800000051868",5,"Public School District","151102040000","LAKE PLACID CSD"
"800000051839",5,"Public School District","151401040000","SCHROON LAKE CSD"
"800000051823",5,"Public School District","151501060000","TICONDEROGA CSD"
"800000051817",5,"Public School District","151701040000","WILLSBORO CSD"
"800000091298",5,"Public School District","151801040000","BOQUET VALLEY CSD"
"800000051805",5,"Public School District","160101060000","TUPPER LAKE CSD"
"800000051798",5,"Public School District","160801040000","CHATEAUGAY CSD"
"800000051790",5,"Public School District","161201040000","SALMON RIVER CSD"
"800000051779",5,"Public School District","161401060000","SARANAC LAKE CSD"
"800000051755",5,"Public School District","161501060000","MALONE CSD"
"800000051709",5,"Public School District","161601040000","BRUSHTON-MOIRA CSD"
"800000051699",5,"Public School District","161801040000","ST REGIS FALLS CSD"
"800000051676",5,"Public School District","170301020000","WHEELERVILLE UFSD"
"800000051678",5,"Public School District","170500010000","GLOVERSVILLE CITY SD"
"800000051668",5,"Public School District","170600010000","JOHNSTOWN CITY SD"
"800000051650",5,"Public School District","170801040000","MAYFIELD CSD"
"800000051634",5,"Public School District","170901040000","NORTHVILLE CSD"
"800000051614",5,"Public School District","171102040000","BROADALBIN-PERTH CSD"
"800000034031",5,"Public School District","180202040000","ALEXANDER CSD"
"800000034034",5,"Public School District","180300010000","BATAVIA CITY SD"
"800000034015",5,"Public School District","180701040000","BYRON-BERGEN CSD"
"800000034019",5,"Public School District","180901040000","ELBA CSD"
"800000033992",5,"Public School District","181001060000","LE ROY CSD"
"800000033993",5,"Public School District","181101040000","OAKFIELD-ALABAMA CSD"
"800000034000",5,"Public School District","181201040000","PAVILION CSD"
"800000034005",5,"Public School District","181302040000","PEMBROKE CSD"
"800000051526",5,"Public School District","190301040000","CAIRO-DURHAM CSD"
"800000051508",5,"Public School District","190401060000","CATSKILL CSD"
"800000051490",5,"Public School District","190501040000","COXSACKIE-ATHENS CSD"
"800000051466",5,"Public School District","190701040000","GREENVILLE CSD"
"800000051460",5,"Public School District","190901040000","HUNTER-TANNERSVILLE CSD"
"800000051437",5,"Public School District","191401040000","WINDHAM-ASHLAND-JEWETT CSD"
"800000051434",5,"Public School District","200101080000","PISECO COMN SD"
"800000051416",5,"Public School District","200401040000","INDIAN LAKE CSD"
"800000051409",5,"Public School District","200501080000","INLET COMN SD"
"800000051433",5,"Public School District","200601040000","LAKE PLEASANT CSD"
"800000051412",5,"Public School District","200701040000","LONG LAKE CSD"
"800000051415",5,"Public School District","200702020000","RAQUETTE LAKE UFSD"
"800000051399",5,"Public School District","200901040000","WELLS CSD"
"800000051407",5,"Public School District","210302040000","WEST CANADA VALLEY CSD"
"800000051377",5,"Public School District","210402060000","FRANKFORT-SCHUYLER CSD"
"800000051334",5,"Public School District","210601060000","HERKIMER CSD"
"800000051319",5,"Public School District","210800050000","LITTLE FALLS CITY SD"
"800000051329",5,"Public School District","211003040000","DOLGEVILLE CSD"
"800000051324",5,"Public School District","211103040000","POLAND CSD"
"800000055802",5,"Public School District","211701040000","VAN HORNESVILLE-OWEN D YOUNG CSD"
"800000051293",5,"Public School District","211901020000","TOWN OF WEBB UFSD"
"800000051281",5,"Public School District","212001040000","MOUNT MARKHAM CSD"
"800000077473",5,"Public School District","212101040000","CENTRAL VALLEY CSD AT ILION-MOHAWK"
"800000051252",5,"Public School District","220101040000","SOUTH JEFFERSON CSD"
"800000051247",5,"Public School District","220202040000","ALEXANDRIA CSD"
"800000051235",5,"Public School District","220301060000","INDIAN RIVER CSD"
"800000051210",5,"Public School District","220401040000","GENERAL BROWN CSD"
"800000051220",5,"Public School District","220701040000","THOUSAND ISLANDS CSD"
"800000051198",5,"Public School District","220909040000","BELLEVILLE-HENDERSON CSD"
"800000051173",5,"Public School District","221001040000","SACKETS HARBOR CSD"
"800000051152",5,"Public School District","221301040000","LYME CSD"
"800000051158",5,"Public School District","221401040000","LA FARGEVILLE CSD"
"800000051181",5,"Public School District","222000010000","WATERTOWN CITY SD"
"800000051113",5,"Public School District","222201060000","CARTHAGE CSD"
"800000051088",5,"Public School District","230201040000","COPENHAGEN CSD"
"800000051104",5,"Public School District","230301040000","HARRISVILLE CSD"
"800000051095",5,"Public School District","230901040000","LOWVILLE ACADEMY & CSD"
"800000051063",5,"Public School District","231101040000","SOUTH LEWIS CSD"
"800000051059",5,"Public School District","231301040000","BEAVER RIVER CSD"
"800000033916",5,"Public School District","240101040000","AVON CSD"
"800000055770",5,"Public School District","240201040000","CALEDONIA-MUMFORD CSD"
"800000055774",5,"Public School District","240401040000","GENESEO CSD"
"800000033932",5,"Public School District","240801060000","LIVONIA CSD"
"800000033919",5,"Public School District","240901040000","MT MORRIS CSD"
"800000033924",5,"Public School District","241001060000","DANSVILLE CSD"
"800000033930",5,"Public School District","241101040000","DALTON-NUNDA CSD (KESHEQUA)"
"800000033951",5,"Public School District","241701040000","YORK CSD"
"800000050976",5,"Public School District","250109040000","BROOKFIELD CSD"
"800000050963",5,"Public School District","250201060000","CAZENOVIA CSD"
"800000050957",5,"Public School District","250301040000","DERUYTER CSD"
"800000050945",5,"Public School District","250401040000","MORRISVILLE-EATON CSD"
"800000050941",5,"Public School District","250701040000","HAMILTON CSD"
"800000050908",5,"Public School District","250901060000","CANASTOTA CSD"
"800000050888",5,"Public School District","251101040000","MADISON CSD"
"800000050877",5,"Public School District","251400010000","ONEIDA CITY SD"
"800000050864",5,"Public School District","251501040000","STOCKBRIDGE VALLEY CSD"
"800000050848",5,"Public School District","251601060000","CHITTENANGO CSD"
"800000033987",5,"Public School District","260101060000","BRIGHTON CSD"
"800000034043",5,"Public School District","260401060000","GATES CHILI CSD"
"800000051588",5,"Public School District","260501060000","GREECE CSD"
"800000034083",5,"Public School District","260801060000","EAST IRONDEQUOIT CSD"
"800000034077",5,"Public School District","260803060000","WEST IRONDEQUOIT CSD"
"800000034100",5,"Public School District","260901060000","HONEOYE FALLS-LIMA CSD"
"800000034093",5,"Public School District","261001060000","SPENCERPORT CSD"
"800000034111",5,"Public School District","261101060000","HILTON CSD"
"800000034104",5,"Public School District","261201060000","PENFIELD CSD"
"800000034511",5,"Public School District","261301060000","FAIRPORT CSD"
"800000049999",5,"Public School District","261313030000","EAST ROCHESTER UFSD"
"800000050008",5,"Public School District","261401060000","PITTSFORD CSD"
"800000050047",5,"Public School District","261501060000","CHURCHVILLE-CHILI CSD"
"800000050065",5,"Public School District","261600010000","ROCHESTER CITY SD"
"800000050593",5,"Public School District","261701060000","RUSH-HENRIETTA CSD"
"800000050665",5,"Public School District","261801060000","BROCKPORT CSD"
"800000050660",5,"Public School District","261901060000","WEBSTER CSD"
"800000050690",5,"Public School District","262001040000","WHEATLAND-CHILI CSD"
"800000049983",5,"Public School District","270100010000","AMSTERDAM CITY SD"
"800000049948",5,"Public School District","270301040000","CANAJOHARIE CSD"
"800000049922",5,"Public School District","270601040000","FONDA-FULTONVILLE CSD"
"800000049934",5,"Public School District","270701040000","FORT PLAIN CSD"
"800000077474",5,"Public School District","271201040000","OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CS"
"800000049886",5,"Public School District","280100010000","GLEN COVE CITY SD"
"800000049875",5,"Public School District","280201030000","HEMPSTEAD UFSD"
"800000049792",5,"Public School District","280202030000","UNIONDALE UFSD"
"800000049753",5,"Public School District","280203030000","EAST MEADOW UFSD"
"800000049730",5,"Public School District","280204020000","NORTH BELLMORE UFSD"
"800000049713",5,"Public School District","280205030000","LEVITTOWN UFSD"
"800000049690",5,"Public School District","280206030000","SEAFORD UFSD"
"800000049672",5,"Public School District","280207020000","BELLMORE UFSD"
"800000049648",5,"Public School District","280208030000","ROOSEVELT UFSD"
"800000049608",5,"Public School District","280209030000","FREEPORT UFSD"
"800000049578",5,"Public School District","280210030000","BALDWIN UFSD"
"800000049558",5,"Public School District","280211030000","OCEANSIDE UFSD"
"800000049551",5,"Public School District","280212030000","MALVERNE UFSD"
"800000049526",5,"Public School District","280213020000","VALLEY STREAM 13 UFSD"
"800000049523",5,"Public School District","280214030000","HEWLETT-WOODMERE UFSD"
"800000049493",5,"Public School District","280215030000","LAWRENCE UFSD"
"800000049455",5,"Public School District","280216020000","ELMONT UFSD"
"800000049437",5,"Public School District","280217020000","FRANKLIN SQUARE UFSD"
"800000049449",5,"Public School District","280218030000","GARDEN CITY UFSD"
"800000049403",5,"Public School District","280219030000","EAST ROCKAWAY UFSD"
"800000049385",5,"Public School District","280220030000","LYNBROOK UFSD"
"800000049383",5,"Public School District","280221030000","ROCKVILLE CENTRE UFSD"
"800000049337",5,"Public School District","280222020000","FLORAL PARK-BELLEROSE UFSD"
"800000049334",5,"Public School District","280223030000","WANTAGH UFSD"
"800000049326",5,"Public School District","280224020000","VALLEY STREAM 24 UFSD"
"800000049333",5,"Public School District","280225020000","MERRICK UFSD"
"800000049285",5,"Public School District","280226030000","ISLAND TREES UFSD"
"800000049293",5,"Public School District","280227030000","WEST HEMPSTEAD UFSD"
"800000049270",5,"Public School District","280229020000","NORTH MERRICK UFSD"
"800000049261",5,"Public School District","280230020000","VALLEY STREAM 30 UFSD"
"800000049252",5,"Public School District","280231020000","ISLAND PARK UFSD"
"800000049260",5,"Public School District","280251070000","VALLEY STREAM CENTRAL HS DISTRICT"
"800000049235",5,"Public School District","280252070000","SEWANHAKA CENTRAL HS DISTRICT"
"800000049241",5,"Public School District","280253070000","BELLMORE-MERRICK CENTRAL HS DISTRICT"
"800000049221",5,"Public School District","280300010000","LONG BEACH CITY SD"
"800000049217",5,"Public School District","280401030000","WESTBURY UFSD"
"800000049157",5,"Public School District","280402030000","EAST WILLISTON UFSD"
"800000049164",5,"Public School District","280403030000","ROSLYN UFSD"
"800000049106",5,"Public School District","280404030000","PORT WASHINGTON UFSD"
"800000049088",5,"Public School District","280405020000","NEW HYDE PARK-GARDEN CITY PARK UFSD"
"800000049069",5,"Public School District","280406030000","MANHASSET UFSD"
"800000049062",5,"Public School District","280407030000","GREAT NECK UFSD"
"800000049018",5,"Public School District","280409030000","HERRICKS UFSD"
"800000049007",5,"Public School District","280410030000","MINEOLA UFSD"
"800000048971",5,"Public School District","280411030000","CARLE PLACE UFSD"
"800000048966",5,"Public School District","280501060000","NORTH SHORE CSD"
"800000048948",5,"Public School District","280502060000","SYOSSET CSD"
"800000048920",5,"Public School District","280503060000","LOCUST VALLEY CSD"
"800000048891",5,"Public School District","280504060000","PLAINVIEW-OLD BETHPAGE CSD"
"800000048868",5,"Public School District","280506060000","OYSTER BAY-EAST NORWICH CSD"
"800000048822",5,"Public School District","280515030000","JERICHO UFSD"
"800000048806",5,"Public School District","280517030000","HICKSVILLE UFSD"
"800000048780",5,"Public School District","280518030000","PLAINEDGE UFSD"
"800000048758",5,"Public School District","280521030000","BETHPAGE UFSD"
"800000048748",5,"Public School District","280522030000","FARMINGDALE UFSD"
"800000048704",5,"Public School District","280523030000","MASSAPEQUA UFSD"
"800000048663",5,"Public School District","300000010000","NYC CHANCELLOR'S OFFICE"
"800000057444",5,"Public School District","307500010000","NYC SPEC SCHOOLS - DIST 75"
"800000048532",5,"Public School District","310100010000","NYC GEOG DIST # 1 - MANHATTAN"
"800000048410",5,"Public School District","310200010000","NYC GEOG DIST # 2 - MANHATTAN"
"800000047476",5,"Public School District","310300010000","NYC GEOG DIST # 3 - MANHATTAN"
"800000047245",5,"Public School District","310400010000","NYC GEOG DIST # 4 - MANHATTAN"
"800000047161",5,"Public School District","310500010000","NYC GEOG DIST # 5 - MANHATTAN"
"800000047032",5,"Public School District","310600010000","NYC GEOG DIST # 6 - MANHATTAN"
"800000046647",5,"Public School District","320700010000","NYC GEOG DIST # 7 - BRONX"
"800000046547",5,"Public School District","320800010000","NYC GEOG DIST # 8 - BRONX"
"800000046428",5,"Public School District","320900010000","NYC GEOG DIST # 9 - BRONX"
"800000046274",5,"Public School District","321000010000","NYC GEOG DIST #10 - BRONX"
